Average for Week Ending,Index (Jan 1999 = 100),Unnamed: 2
2020-12-25,125.42,
2020-12-18,125.52,
2020-12-11,125.25,
2020-12-04,125.56,
2020-11-27,125.66,
2020-11-20,125.6,
2020-11-13,125.69,
2020-11-06,125.45,
2020-10-30,125.42,
2020-10-23,125.77,
2020-10-16,125.94,
2020-10-09,126.08,
2020-10-02,125.66,
2020-09-25,125.63,
2020-09-18,125.77,
2020-09-11,125.53,
2020-09-04,125.68,
2020-08-28,125.74,
2020-08-21,125.8,
2020-08-14,125.68,
2020-08-07,125.6,
2020-07-31,125.59,
2020-07-24,125.51,
2020-07-17,125.53,
2020-07-10,125.37,
2020-07-03,125.78,
2020-06-26,125.87,
2020-06-19,125.83,
2020-06-12,125.8,
2020-06-05,125.6,
2020-05-29,125.37,
2020-05-22,125.38,
2020-05-15,125.48,
2020-05-08,125.59,
2020-05-01,125.77,
2020-04-24,125.45,
2020-04-17,125.52,
2020-04-10,125.61,
2020-04-03,125.44,
2020-03-27,125.06,
2020-03-20,124.89,
2020-03-13,125.35,
2020-03-06,126.01,
2020-02-28,126.05,
2020-02-21,125.87,
2020-02-14,125.97,
2020-02-07,126.56,
2020-01-31,127.85,
2020-01-24,128.42,
2020-01-17,128.41,
2020-01-10,128.38,
2020-01-03,128.4,
2019-12-27,128.38,
2019-12-20,128.31,
2019-12-13,128.35,
2019-12-06,128.18,
2019-11-29,128.16,
2019-11-22,128.32,
2019-11-15,128.3,
2019-11-08,128.27,
2019-11-01,128.21,
2019-10-25,128.27,
2019-10-18,128.11,
2019-10-11,127.61,
2019-10-04,127.53,
2019-09-27,127.64,
2019-09-20,127.62,
2019-09-13,127.4,
2019-09-06,127.07,
2019-08-30,126.91,
2019-08-23,126.88,
2019-08-16,126.53,
2019-08-09,126.91,
2019-08-02,127.14,
2019-07-26,127.34,
2019-07-19,127.65,
2019-07-12,127.82,
2019-07-05,127.85,
2019-06-28,127.86,
2019-06-21,127.67,
2019-06-14,127.55,
2019-06-07,127.45,
2019-05-31,126.96,
2019-05-24,127.06,
2019-05-17,127.45,
2019-05-10,127.6,
2019-05-03,127.55,
2019-04-26,127.57,
2019-04-19,127.61,
2019-04-12,127.56,
2019-04-05,127.53,
2019-03-29,127.45,
2019-03-22,127.52,
2019-03-15,127.35,
2019-03-08,127.27,
2019-03-01,127.44,
2019-02-22,127.37,
2019-02-15,127.26,
2019-02-08,127.13,
2019-02-01,127.29,
2019-01-25,127.19,
2019-01-18,127.23,
2019-01-11,127.26,
2019-01-04,127.13,
2018-12-28,126.87,
2018-12-21,127.06,
2018-12-14,127.05,
2018-12-07,127.03,
2018-11-30,126.94,
2018-11-23,126.93,
2018-11-16,126.76,
2018-11-09,126.85,
2018-11-02,126.74,
2018-10-26,126.76,
2018-10-19,126.53,
2018-10-12,126.27,
2018-10-05,126.41,
2018-09-28,126.73,
2018-09-21,126.38,
2018-09-14,126.15,
2018-09-07,126.01,
2018-08-31,126.3,
2018-08-24,126.33,
2018-08-17,126.28,
2018-08-10,126.32,
2018-08-03,126.28,
2018-07-27,126.2,
2018-07-20,125.94,
2018-07-13,125.87,
2018-07-06,125.45,
2018-06-29,125.23,
2018-06-22,125.3,
2018-06-15,126.18,
2018-06-08,126.05,
2018-06-01,125.89,
2018-05-25,125.68,
2018-05-18,125.56,
2018-05-11,125.39,
2018-05-04,125.63,
2018-04-27,125.54,
2018-04-20,125.79,
2018-04-13,125.74,
2018-04-06,125.62,
2018-03-30,125.71,
2018-03-23,125.53,
2018-03-16,125.7,
2018-03-09,125.36,
2018-03-02,125.14,
2018-02-23,125.12,
2018-02-16,125.06,
2018-02-09,124.82,
2018-02-02,125.35,
2018-01-26,125.66,
2018-01-19,125.59,
2018-01-12,125.71,
2018-01-05,126.0,
2017-12-29,125.84,
2017-12-22,125.74,
2017-12-15,125.64,
2017-12-08,125.67,
2017-12-01,125.72,
2017-11-24,125.66,
2017-11-17,125.57,
2017-11-10,125.56,
2017-11-03,125.61,
2017-10-27,125.4,
2017-10-20,125.52,
2017-10-13,125.44,
2017-10-06,125.35,
2017-09-29,125.52,
2017-09-22,125.47,
2017-09-15,125.33,
2017-09-08,125.14,
2017-09-01,125.13,
2017-08-25,125.12,
2017-08-18,125.13,
2017-08-11,125.13,
2017-08-04,125.48,
2017-07-28,125.68,
2017-07-21,125.47,
2017-07-14,125.2,
2017-07-07,125.15,
2017-06-30,124.9,
2017-06-23,124.73,
2017-06-16,124.83,
2017-06-09,124.69,
2017-06-02,124.83,
2017-05-26,124.84,
2017-05-19,124.6,
2017-05-12,124.19,
2017-05-05,124.67,
2017-04-28,124.92,
2017-04-21,124.95,
2017-04-14,125.08,
2017-04-07,125.21,
2017-03-31,125.26,
2017-03-24,125.13,
2017-03-17,125.12,
2017-03-10,125.09,
2017-03-03,125.2,
2017-02-24,124.51,
2017-02-17,124.08,
2017-02-10,124.18,
2017-02-03,124.4,
2017-01-27,124.13,
2017-01-20,124.11,
2017-01-13,124.05,
2017-01-06,124.0,
2016-12-30,123.61,
2016-12-23,123.79,
2016-12-16,124.06,
2016-12-09,124.29,
2016-12-02,124.15,
2016-11-25,124.01,
2016-11-18,123.83,
2016-11-11,123.52,
2016-11-04,123.81,
2016-10-28,123.75,
2016-10-21,123.74,
2016-10-14,124.25,
2016-10-07,124.26,
2016-09-30,124.46,
2016-09-23,124.9,
2016-09-16,124.75,
2016-09-09,125.16,
2016-09-02,124.76,
2016-08-26,124.89,
2016-08-19,125.53,
2016-08-12,125.78,
2016-08-05,126.17,
2016-07-29,125.95,
2016-07-22,126.06,
2016-07-15,126.15,
2016-07-08,126.13,
2016-07-01,126.07,
2016-06-24,126.09,
2016-06-17,125.82,
2016-06-10,125.35,
2016-06-03,124.7,
2016-05-27,124.3,
2016-05-20,124.16,
2016-05-13,124.08,
2016-05-06,124.6,
2016-04-29,125.09,
2016-04-22,124.97,
2016-04-15,124.52,
2016-04-08,124.85,
2016-04-01,125.05,
2016-03-25,124.83,
2016-03-18,124.79,
2016-03-11,124.34,
2016-03-04,123.98,
2016-02-26,123.5,
2016-02-19,123.14,
2016-02-12,123.78,
2016-02-05,122.92,
2016-01-29,122.71,
2016-01-22,122.51,
2016-01-15,122.38,
2016-01-08,122.68,
2016-01-01,123.52,
2015-12-25,124.0,
2015-12-18,123.88,
2015-12-11,123.94,
2015-12-04,123.87,
2015-11-27,123.5,
2015-11-20,123.25,
2015-11-13,122.97,
2015-11-06,123.47,
2015-10-30,123.67,
2015-10-23,123.72,
2015-10-16,123.03,
2015-10-09,122.01,
2015-10-02,122.32,
2015-09-25,122.71,
2015-09-18,123.57,
2015-09-11,122.46,
2015-09-04,122.26,
2015-08-28,122.85,
2015-08-21,122.7,
2015-08-14,122.45,
2015-08-07,123.11,
2015-07-31,123.67,
2015-07-24,123.67,
2015-07-17,123.89,
2015-07-10,124.38,
2015-07-03,124.31,
2015-06-26,124.71,
2015-06-19,124.51,
2015-06-12,123.96,
2015-06-05,123.95,
2015-05-29,123.91,
2015-05-22,124.17,
2015-05-15,124.21,
2015-05-08,124.14,
2015-05-01,124.54,
2015-04-24,123.5,
2015-04-17,123.02,
2015-04-10,122.71,
2015-04-03,122.07,
2015-03-27,121.6,
2015-03-20,121.1,
2015-03-13,121.31,
2015-03-06,121.51,
2015-02-27,121.71,
2015-02-20,121.55,
2015-02-13,121.61,
2015-02-06,122.01,
2015-01-30,122.3,
2015-01-23,122.79,
2015-01-16,122.65,
2015-01-09,122.62,
2015-01-02,122.8,
2014-12-26,122.94,
2014-12-19,123.41,
2014-12-12,122.84,
2014-12-05,122.78,
2014-11-28,122.76,
2014-11-21,122.71,
2014-11-14,123.03,
