Average for Week Ending,Index (Jan 1999 = 100),Unnamed: 2
2003-12-05,97.25,
2003-11-28,97.31,
2003-11-21,97.47,
2003-11-14,97.0,
2003-11-07,96.61,
2003-10-31,96.54,
2003-10-24,96.48,
2003-10-17,96.78,
2003-10-10,97.22,
2003-10-03,97.39,
2003-09-26,97.47,
2003-09-19,97.39,
2003-09-12,97.52,
2003-09-05,97.72,
2003-08-29,98.06,
2003-08-22,98.24,
2003-08-15,97.75,
2003-08-08,97.51,
2003-08-01,97.57,
2003-07-25,97.56,
2003-07-18,97.24,
2003-07-11,97.2,
2003-07-04,97.04,
2003-06-27,97.67,
2003-06-20,98.13,
2003-06-13,98.1,
2003-06-06,98.67,
2003-05-30,98.51,
2003-05-23,98.67,
2003-05-16,98.75,
2003-05-09,98.26,
2003-05-02,97.44,
2003-04-25,97.5,
2003-04-18,97.8,
2003-04-11,97.89,
2003-04-04,98.32,
2003-03-28,98.74,
2003-03-21,98.91,
2003-03-14,99.4,
2003-03-07,99.75,
2003-02-28,99.87,
2003-02-21,99.44,
2003-02-14,99.2,
2003-02-07,99.71,
2003-01-31,100.05,
2003-01-24,100.19,
2003-01-17,100.27,
2003-01-10,100.31,
2003-01-03,100.57,
2002-12-27,100.74,
2002-12-20,100.49,
2002-12-13,100.06,
2002-12-06,99.94,
2002-11-29,99.99,
2002-11-22,99.77,
2002-11-15,99.79,
2002-11-08,100.19,
2002-11-01,100.13,
2002-10-25,99.92,
2002-10-18,99.24,
2002-10-11,99.15,
2002-10-04,99.32,
2002-09-27,99.57,
2002-09-20,99.72,
2002-09-13,100.31,
2002-09-06,100.44,
2002-08-30,100.44,
2002-08-23,100.52,
2002-08-16,100.31,
2002-08-09,100.01,
2002-08-02,99.96,
2002-07-26,100.1,
2002-07-19,100.14,
2002-07-12,99.69,
2002-07-05,99.21,
2002-06-28,99.31,
2002-06-21,99.12,
2002-06-14,99.2,
2002-06-07,99.08,
2002-05-31,99.34,
2002-05-24,99.5,
2002-05-17,99.72,
2002-05-10,99.62,
2002-05-03,99.7,
2002-04-26,99.69,
2002-04-19,99.29,
2002-04-12,99.22,
2002-04-05,99.12,
2002-03-29,99.24,
2002-03-22,99.93,
2002-03-15,100.1,
2002-03-08,100.17,
2002-03-01,100.31,
2002-02-22,100.39,
2002-02-15,100.42,
2002-02-08,100.37,
2002-02-01,100.38,
2002-01-25,99.97,
2002-01-18,99.96,
2002-01-11,99.18,
2002-01-04,99.0,
2001-12-28,99.22,
2001-12-21,99.07,
2001-12-14,99.16,
2001-12-07,99.07,
2001-11-30,99.22,
2001-11-23,99.04,
2001-11-16,99.34,
2001-11-09,99.75,
2001-11-02,99.41,
2001-10-26,99.48,
2001-10-19,99.62,
2001-10-12,100.0,
2001-10-05,101.68,
2001-09-28,102.05,
2001-09-21,103.16,
2001-09-14,103.05,
2001-09-07,102.85,
2001-08-31,102.47,
2001-08-24,101.97,
2001-08-17,102.3,
2001-08-10,102.14,
2001-08-03,101.39,
2001-07-27,100.77,
2001-07-20,100.57,
2001-07-13,100.51,
2001-07-06,101.05,
2001-06-29,100.99,
2001-06-22,100.99,
2001-06-15,101.03,
2001-06-08,101.08,
2001-06-01,101.15,
2001-05-25,101.17,
2001-05-18,100.71,
2001-05-11,100.04,
2001-05-04,100.07,
2001-04-27,100.73,
2001-04-20,100.93,
2001-04-13,100.72,
2001-04-06,100.72,
2001-03-30,101.2,
2001-03-23,101.94,
2001-03-16,102.03,
2001-03-09,101.76,
2001-03-02,102.16,
2001-02-23,102.16,
2001-02-16,101.79,
2001-02-09,101.58,
2001-02-02,101.58,
2001-01-26,101.81,
2001-01-19,102.29,
2001-01-12,102.14,
2001-01-05,101.94,
2000-12-29,102.31,
2000-12-22,102.08,
2000-12-15,102.25,
2000-12-08,101.87,
2000-12-01,101.62,
2000-11-24,101.62,
2000-11-17,101.53,
2000-11-10,101.74,
2000-11-03,101.5,
2000-10-27,101.1,
2000-10-20,100.79,
2000-10-13,100.28,
2000-10-06,100.37,
2000-09-29,100.21,
2000-09-22,100.46,
2000-09-15,100.32,
2000-09-08,100.27,
2000-09-01,100.51,
2000-08-25,100.57,
2000-08-18,100.49,
2000-08-11,100.54,
2000-08-04,100.21,
2000-07-28,99.31,
2000-07-21,98.98,
2000-07-14,99.08,
2000-07-07,99.05,
2000-06-30,98.74,
2000-06-23,98.64,
2000-06-16,99.18,
2000-06-09,99.35,
2000-06-02,99.33,
2000-05-26,99.52,
2000-05-19,99.73,
2000-05-12,99.63,
2000-05-05,99.59,
2000-04-28,99.84,
2000-04-21,99.48,
2000-04-14,98.45,
2000-04-07,98.43,
2000-03-31,98.25,
2000-03-24,98.35,
2000-03-17,98.53,
2000-03-10,98.44,
2000-03-03,98.36,
2000-02-25,98.77,
2000-02-18,99.03,
2000-02-11,99.23,
2000-02-04,99.23,
2000-01-28,98.84,
2000-01-21,99.49,
2000-01-14,99.78,
2000-01-07,100.05,
1999-12-31,99.84,
1999-12-24,99.76,
1999-12-17,99.52,
1999-12-10,99.36,
1999-12-03,99.56,
1999-11-26,100.1,
1999-11-19,100.03,
1999-11-12,99.83,
1999-11-05,99.84,
1999-10-29,99.84,
1999-10-22,99.73,
1999-10-15,99.9,
1999-10-08,99.64,
1999-10-01,99.01,
1999-09-24,99.08,
1999-09-17,99.69,
1999-09-10,100.03,
1999-09-03,99.88,
1999-08-27,99.94,
1999-08-20,100.48,
1999-08-13,100.86,
1999-08-06,99.81,
1999-07-30,99.38,
1999-07-23,99.12,
1999-07-16,99.37,
1999-07-09,99.53,
1999-07-02,99.03,
1999-06-25,98.95,
1999-06-18,98.98,
1999-06-11,98.76,
1999-06-04,99.05,
1999-05-28,98.76,
1999-05-21,99.2,
1999-05-14,99.62,
1999-05-07,99.71,
1999-04-30,100.17,
1999-04-23,99.77,
1999-04-16,99.93,
1999-04-09,98.83,
1999-04-02,98.93,
1999-03-26,98.77,
1999-03-19,99.04,
1999-03-12,98.98,
1999-03-05,99.02,
1999-02-26,99.25,
1999-02-19,99.78,
1999-02-12,99.78,
1999-02-05,99.76,
1999-01-29,100.18,
1999-01-22,100.1,
1999-01-15,99.75,
1999-01-08,100.0,
