End of Period / SORA Value Date,Unnamed: 1,Unnamed: 2,Interbank Overnight,Interbank 1-Week,Interbank 1-Month,Interbank 2-Month,Interbank 3-Month,Interbank 6-Month,Interbank 12-Month,3-Month Commercial Bills,3-Month US$ SIBOR,Singapore Overnight Rate Average,SGS Repo Overnight Rate,SF Deposit Rate,SF Borrowing Rate,RMB Overnight Rate
,,15.0,0.5,2.38,2.19,2.13,2.19,2.19,2.25,2.23,4.94,-,2.32,-,-,-
,,16.0,1.25,2.5,2.25,2.25,2.25,2.25,2.25,2.19,4.9,-,2.53,-,-,-
,,17.0,2.5,2.5,2.25,2.25,2.25,2.25,2.25,-,-,-,-,-,-,-
,,19.0,1.25,2.31,2.25,2.25,2.25,2.25,2.31,2.17,4.89,-,2.19,-,-,-
,,20.0,0.25,2.25,2.19,2.19,2.19,2.25,2.25,2.18,4.88,-,2.01,-,-,-
,,21.0,1.25,2.38,2.31,2.31,2.31,2.31,2.31,2.19,4.86,-,1.76,-,-,-
,,22.0,0.5,2.75,2.5,2.44,2.44,2.44,2.44,2.24,4.86,-,1.94,-,-,-
,,23.0,2,2.38,2.38,2.38,2.38,2.38,2.38,2.29,4.85,-,2.27,-,-,-
,,24.0,1.5,2.5,2.38,2.38,2.38,2.38,2.44,-,-,-,-,-,-,-
,,26.0,0.25,2.25,2.31,2.31,2.31,2.31,2.38,2.33,4.87,-,1.73,-,-,-
,,27.0,2.25,2.13,2.25,2.25,2.25,2.31,2.31,2.26,4.87,-,1.51,-,-,-
,,28.0,0.25,2.25,2.25,2.25,2.25,2.31,2.38,2.22,4.9,-,1.62,-,-,-
,,29.0,0.25,2.38,2.38,2.38,2.38,2.38,2.44,2.33,4.89,-,1.78,-,-,-
,,30.0,1.25,2.38,2.38,2.38,2.38,2.38,2.5,2.31,4.88,-,2.39,-,-,-
,,31.0,1.25,2.38,2.38,2.38,2.38,2.38,2.44,-,-,-,-,-,-,-
,Apr,2.0,2,2.75,2.63,2.63,2.63,2.63,2.63,2.35,4.84,-,2.08,-,-,-
,,3.0,1.5,2.5,2.5,2.5,2.5,2.5,2.5,2.43,4.85,-,2.08,-,-,-
,,4.0,1.75,2.75,2.56,2.5,2.5,2.5,2.56,2.44,4.82,-,2.14,-,-,-
,,5.0,1.5,2.38,2.38,2.38,2.38,2.5,2.5,2.43,4.8,-,1.93,-,-,-
,,6.0,2.25,2.38,2.38,2.38,2.44,2.5,2.5,2.39,4.81,-,2.1,-,-,-
,,7.0,2,2.38,2.38,2.38,2.38,2.44,2.5,-,-,-,-,-,-,-
,,9.0,1.88,2.38,2.38,2.38,2.38,2.44,2.5,2.38,4.73,-,1.88,-,-,-
,,10.0,1,2.25,2.25,2.25,2.31,2.38,2.44,2.37,4.74,-,1.63,-,-,-
,,11.0,1.5,2.13,2.25,2.25,2.25,2.31,2.38,2.32,4.77,-,1.74,-,-,-
,,12.0,2.5,2.25,2.25,2.25,2.25,2.31,2.38,2.31,4.78,-,2.39,-,-,-
,,14.0,2.5,2.25,2.25,2.25,2.25,2.31,2.38,-,-,-,-,-,-,-
,,16.0,0.75,2.25,2.25,2.25,2.25,2.31,2.38,2.3,4.78,-,2.07,-,-,-
,,17.0,0.5,2.13,2.25,2.25,2.25,2.31,2.38,2.31,4.8,-,1.9,-,-,-
,,18.0,1.25,1.88,2.13,2.13,2.19,2.31,2.38,2.28,4.81,-,1.36,-,-,-
,,19.0,0.5,1.63,1.81,1.94,2,2.13,2.25,2.17,4.41,-,1.08,-,-,-
,,20.0,2.75,2,2,2.06,2.13,2.19,2.25,2.16,4.41,-,1.71,-,-,-
,,21.0,2.75,2,2,2.06,2.06,2.19,2.25,-,-,-,-,-,-,-
,,23.0,0.25,2.13,2.19,2.19,2.25,2.25,2.31,2.19,4.39,-,1.39,-,-,-
,,24.0,1,2,2.13,2.13,2.13,2.19,2.31,2.19,4.36,-,1.89,-,-,-
,,25.0,1.75,2,2.06,2.13,2.13,2.19,2.31,2.16,4.35,-,1.83,-,-,-
,,26.0,3,2.38,2.38,2.38,2.38,2.38,2.44,2.17,4.34,-,1.75,-,-,-
,,27.0,2.5,2.75,2.44,2.44,2.44,2.44,2.44,2.24,4.32,-,2.61,-,-,-
,,28.0,2.25,2.5,2.38,2.38,2.38,2.38,2.44,-,-,-,-,-,-,-
,,30.0,0.5,2.25,2.25,2.25,2.25,2.38,2.38,2.28,4.34,-,2.52,-,-,-
,May,2.0,0.25,2.25,2.25,2.25,2.25,2.38,2.38,2.26,4.31,-,1.94,-,-,-
,,3.0,1,2.25,2.25,2.25,2.25,2.31,2.38,2.26,4.31,-,1.97,-,-,-
,,4.0,3,2.25,2.25,2.25,2.25,2.38,2.38,2.24,4.27,-,2.89,-,-,-
,,5.0,2,2.25,2.25,2.25,2.25,2.38,2.38,-,-,-,-,-,-,-
,,8.0,2,2.38,2.38,2.38,2.38,2.38,2.38,2.27,4.09,-,2.42,-,-,-
,,9.0,1.25,2.56,2.5,2.44,2.44,2.44,2.44,2.32,4.07,-,2.32,-,-,-
,,10.0,2,2.25,2.25,2.31,2.31,2.31,2.38,2.35,4.06,-,2.06,-,-,-
,,11.0,2.25,2.25,2.25,2.25,2.25,2.31,2.38,2.28,4.06,-,2.22,-,-,-
,,12.0,2.5,2.25,2.25,2.25,2.25,2.31,2.38,-,-,-,-,-,-,-
,,14.0,2.5,2.13,2.25,2.25,2.25,2.31,2.38,2.23,4.12,-,1.78,-,-,-
,,15.0,2.5,2.13,2.19,2.25,2.25,2.31,2.38,2.24,4.12,-,2.21,-,-,-
,,16.0,1.88,2.19,2.19,2.19,2.25,2.31,2.38,2.24,4.02,-,1.86,-,-,-
,,17.0,1.5,2.13,2.13,2.19,2.19,2.25,2.31,2.2,4.03,-,1.92,-,-,-
,,18.0,2,2.13,2.13,2.19,2.19,2.25,2.31,2.19,4.04,-,2.46,-,-,-
,,19.0,2,2.13,2.13,2.19,2.19,2.25,2.31,-,-,-,-,-,-,-
,,21.0,1.75,2.13,2.19,2.19,2.25,2.25,2.31,2.22,4.06,-,2.01,-,-,-
,,22.0,2.25,2.25,2.19,2.19,2.25,2.31,2.38,2.21,4.06,-,2.14,-,-,-
,,23.0,2.5,2.38,2.25,2.25,2.25,2.31,2.38,2.23,4.06,-,2.25,-,-,-
,,24.0,2,2.25,2.19,2.19,2.25,2.31,2.38,2.24,4.05,-,2.24,-,-,-
,,25.0,2.75,2.38,2.25,2.25,2.31,2.38,2.44,2.24,4.03,-,2.59,-,-,-
,,26.0,2,2.38,2.25,2.25,2.31,2.38,2.38,-,-,-,-,-,-,-
,,28.0,1.75,2.31,2.31,2.31,2.31,2.38,2.44,2.24,4,-,2.23,-,-,-
,,29.0,0.5,2.38,2.31,2.31,2.31,2.38,2.44,2.25,3.99,-,2.21,-,-,-
,,30.0,2,2.25,2.25,2.25,2.31,2.31,2.44,2.24,4,-,2.02,-,-,-
,,31.0,1.25,2.25,2.25,2.25,2.25,2.31,2.44,2.24,4,-,2,-,-,-
,Jun,1.0,1.75,2.19,2.19,2.25,2.25,2.31,2.44,2.24,3.95,-,2.25,-,-,-
,,2.0,1.25,2.25,2.25,2.25,2.25,2.31,2.38,-,-,-,-,-,-,-
,,4.0,1,2.19,2.19,2.25,2.25,2.31,2.38,2.24,3.94,-,1.93,-,-,-
,,5.0,2.75,2.13,2.13,2.19,2.25,2.31,2.38,2.23,3.94,-,1.81,-,-,-
,,6.0,2,2.13,2.13,2.19,2.25,2.31,2.38,2.23,3.92,-,1.9,-,-,-
,,7.0,1.63,2.13,2.13,2.19,2.25,2.31,2.38,2.23,3.9,-,2.02,-,-,-
,,8.0,2,2.13,2.13,2.19,2.25,2.31,2.38,2.22,3.9,-,2.34,-,-,-
,,9.0,1,2.13,2.13,2.19,2.25,2.31,2.38,-,-,-,-,-,-,-
,,11.0,1.25,2.13,2.13,2.19,2.25,2.31,2.38,2.23,3.91,-,1.85,-,-,-
,,12.0,1.25,2.13,2.13,2.13,2.25,2.31,2.38,2.23,3.89,-,1.88,-,-,-
,,13.0,1.5,2.38,2.25,2.25,2.25,2.31,2.38,2.24,3.88,-,2.22,-,-,-
